,ts_generation,generated_by,co2,pressure,temperature,humidity
0,1718150672436,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,489.0,,17.6,81.0
1,1718151284591,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,489.0,,17.5,86.0
2,1718151896739,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,510.0,,17.3,90.0
3,1718152508872,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,486.0,,17.2,90.0
4,1718153120995,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,507.0,,17.1,91.0
5,1718153733153,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,509.0,,16.9,90.0
6,1718154345284,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,513.0,,16.7,90.0
7,1718154957514,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,510.0,,16.5,92.0
8,1718155569657,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,531.0,,16.4,96.0
9,1718156181804,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,515.0,,16.3,96.0
10,1718156793983,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,527.0,,16.2,99.0
11,1718157406123,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,511.0,,16.2,100.0
12,1718158018343,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,518.0,,16.2,100.0
13,1718158630477,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,509.0,,16.1,100.0
14,1718159242635,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,515.0,,15.8,100.0
