ts_generation,gdd,standard_day_degree_daily,daily_mean_temperature,daily_max_above_Tbase,daily_max,daily_max_reduction,ontario_units
1705565579694,0.0,-2.4,7.6,-0.1,9.9,-0.1,0.6
1705686903849,0.0,-6.8,3.2,-6.5,3.5,-6.5,-13.9
1705791091212,0.0,-15.3,-5.3,-15.3,-5.3,-15.3,-44.0
1705796491069,0.0,-11.8,-1.8,-6.6,3.4,-6.6,-23.2
1705888894253,0.0,-9.1,0.9,-4.2,5.8,-4.2,-15.3
1706272011808,0.0,-6.0,4.0,-0.7,9.3,-0.7,-6.3
1706313685213,0.0,-5.0,5.0,3.2,13.2,3.2,-1.9
1706400082279,0.0,-7.6,2.4,-6.6,3.4,-6.6,-15.5
1706486479363,0.0,-9.0,1.1,-3.1,6.9,-3.1,-13.8
1706572876600,0.0,-6.2,3.8,2.5,12.5,2.5,-4.5
1707149073754,0.0,-3.8,6.2,2.5,12.5,2.5,-0.1
1707177872801,0.0,-1.6,8.4,7.9,17.9,7.9,5.7
1707264269384,1.4,1.4,11.4,9.6,19.6,9.6,10.9
1707350665981,1.4,-0.2,9.8,9.7,19.7,9.7,8.1
1707437062337,1.4,-0.6,9.4,1.1,11.1,1.1,4.8
1707523458740,1.4,-1.1,9.0,0.7,10.7,0.7,3.7
1707609855106,1.7,0.3,10.3,2.0,12.0,2.0,6.9
1707696251468,2.7,1.0,11.0,8.0,18.0,8.0,10.3
1707782647963,3.2,0.6,10.6,9.6,19.6,9.6,9.5
1707869044542,3.7,0.5,10.5,10.6,20.6,10.6,9.3
1707955441185,4.4,0.7,10.7,9.8,19.8,9.8,9.8
1708041837728,5.5,1.1,11.0,9.0,19.0,9.0,10.4
1708128234163,7.1,1.6,11.6,11.0,21.0,11.0,11.3
1708214630612,7.7,0.6,10.6,9.4,19.4,9.4,9.6
1708301027050,9.3,1.6,11.6,10.9,20.9,10.9,11.3
1708387423597,11.0,1.7,11.7,11.1,21.1,11.1,11.4
1708778607742,11.0,-1.8,8.2,2.1,12.1,2.1,3.3
1708819406217,11.0,-0.1,9.9,8.1,18.1,8.1,8.3
