timestamp,plot_id,soil_moisture_pct,soil_temp_c,air_temp_c,air_humidity_pct,rainfall_mm_24h,days_since_planting,crop_growth_stage,water_applied_l,irrigated_next_flag
2024-05-01 10:30:00,device_170,12.7,38.1,34.03,26.46,,0,establishment,0.0,False
2024-05-02 10:35:00,device_170,12.9,39.1,36.83,20.42,,1,establishment,0.0,False
2024-05-03 11:52:00,device_170,12.7,39.6,40.55,24.53,,2,establishment,0.0,False
2024-05-04 11:55:00,device_170,12.9,40.7,36.99,36.65,,3,establishment,0.0,False
2024-05-05 10:17:00,device_170,12.9,40.6,37.53,37.76,,3,establishment,0.0,False
2024-05-06 10:21:00,device_170,12.8,41.6,40.65,38.09,,4,establishment,0.0,False
2024-05-07 10:08:00,device_170,12.7,42.9,43.41,34.59,,5,establishment,0.0,False
2024-05-08 10:10:00,device_170,12.7,44.3,45.03,31.34,,6,establishment,0.0,False
2024-05-09 10:10:00,device_170,12.4,50.4,42.58,37.08,,7,establishment,0.0,False
2024-05-10 10:14:00,device_170,12.3,55.8,44.16,37.96,,8,establishment,0.0,False
2024-05-11 10:32:00,device_170,12.3,57.0,37.17,54.32,,10,establishment,0.0,False
2024-05-12 10:07:00,device_170,12.2,59.2,39.41,52.43,,10,establishment,0.0,False
2024-05-13 10:13:00,device_170,12.2,60.3,37.97,54.17,,11,establishment,0.0,False
2024-05-14 10:20:00,device_170,12.2,61.3,40.31,49.12,,12,establishment,0.0,False
2024-05-15 10:18:00,device_170,12.1,62.8,41.58,53.06,,13,establishment,0.0,False
2024-05-16 10:09:00,device_170,12.0,63.1,42.25,51.05,,14,establishment,0.0,False
2024-05-17 10:05:00,device_170,11.9,63.3,43.65,48.58,,15,vegetative,0.0,False
2024-05-18 10:08:00,device_170,11.9,63.5,40.9,57.34,,16,vegetative,0.0,False
2024-05-19 10:14:00,device_170,11.9,63.8,41.56,55.56,,17,vegetative,0.0,False
2024-05-20 10:10:00,device_170,11.9,64.7,41.92,58.05,,18,vegetative,0.0,False
2024-05-21 10:15:00,device_170,11.9,65.7,42.35,59.38,,19,vegetative,0.0,False
