Device ID,Data Added,Humidity,API Humidity,Temperature,API Temperature,Heat Index,Soil Moisture,Soil Moisture Raw Value,Soil Temp,Soil_EC Raw,API Wind Speed,API Wind Direction,Signal Strength,API Key,N_For_User,P_For_User,K_For_User,Nitrogen,Phosphorus,Potassium,N_From_Admin,P_From_Admin,K_From_Admin,N_From_EC,P_From_EC,K_From_EC,ETo,ETc,E_D,Salinity,TDS,Battery Voltage,Water Required,PH
170,21-Nov-2024 03:32 pm,50.06,15.00,29.51,30.79,30.35,28.20,28.20,71.20,386,2.85,235.00,24.00,220608001,343.00,141.91,335.57,-5,-5,-5,1,1,0,26.38,70.95,83.47,0,0,0,low,247.04,2.35,Yes,-5.00
170,15-Oct-2024 08:09 am,73.16,29.00,31.01,28.97,38.61,-1.00,-1.00,-1.00,-1,2.86,275.00,21.00,220608001,0.00,9.57,22.62,-5,-5,-5,1,1,0,0.00,4.78,5.63,0,0,0,low,-0.64,2.41,Yes,0.00
170,08-Oct-2024 09:17 am,66.79,25.00,32.99,33.63,42.09,-1.00,-1.00,-1.00,-1,1.80,213.00,24.00,220608001,0.00,9.57,22.62,-5,-5,-5,1,1,0,0.00,4.78,5.63,0,0,0,low,-0.64,2.50,Yes,0.00
170,19-Sep-2024 09:33 am,65.97,22.00,36.29,37.30,52.67,17.50,17.50,71.10,78,1.54,14.00,25.00,220608001,162.10,19.49,46.10,-5,-5,-5,1,1,0,12.47,9.75,11.47,0,0,0,low,49.92,2.52,Yes,0.00
170,13-Sep-2024 08:09 am,81.31,58.00,29.76,29.65,37.29,-1.00,-1.00,-1.00,-1,8.25,211.00,23.00,220608001,0.00,9.57,22.62,-5,-5,-5,1,1,0,0.00,4.78,5.63,0,0,0,low,-0.64,2.53,Yes,0.00
170,13-Sep-2024 08:05 am,81.75,58.00,29.73,29.65,37.32,-1.00,-1.00,-1.00,-1,8.25,211.00,18.00,220608001,0.00,9.57,22.62,-5,-5,-5,1,1,0,0.00,4.78,5.63,0,0,0,low,-0.64,2.53,Yes,0.00
170,13-Sep-2024 07:49 am,83.61,58.00,29.19,29.65,36.13,-1.00,-1.00,-1.00,-1,8.25,211.00,22.00,220608001,0.00,9.57,22.62,-5,-5,-5,1,1,0,0.00,4.78,5.63,0,0,0,low,-0.64,2.52,Yes,0.00
170,12-Sep-2024 10:09 am,68.26,36.00,35.50,36.87,51.16,-1.00,-1.00,-1.00,-1,6.17,235.00,22.00,220608001,0.00,9.57,22.62,-5,-5,-5,1,1,0,0.00,4.78,5.63,0,0,0,low,-0.64,2.53,Yes,0.00
170,28-Aug-2024 11:21 am,87.58,56.00,30.29,32.69,41.00,-1.00,-1.00,-1.00,-1,7.36,57.00,26.00,220608001,0.00,9.57,22.62,-5,-5,-5,1,1,0,0.00,4.78,5.63,0,0,5,low,-0.64,2.68,No,0.00
170,23-Aug-2024 04:36 pm,53.92,29.00,39.36,39.91,55.45,31.94,31.94,-5.00,784,4.02,151.00,-5.00,220608001,930.59,419.14,991.14,4,54,52,1,1,0,71.58,209.57,246.55,0,0,5,low,501.76,-5,No,0.00
170,20-Aug-2024 10:39 am,78.65,59.00,35.74,32.76,58.97,29.50,29.50,71.30,153,6.77,199.00,19.00,220608001,86.85,39.42,93.21,-5,-5,-5,1,1,0,6.68,19.71,23.19,0,0,0,low,97.92,2.88,Yes,0.00
170,15-Aug-2024 10:26 am,74.64,43.00,36.70,37.22,60.37,16.20,16.20,71.70,139,5.63,237.00,23.00,220608001,71.61,30.58,72.30,-5,-5,-5,1,1,0,5.51,15.29,17.99,0,0,0,low,88.96,4.83,Yes,0.00
170,13-Aug-2024 10:28 am,78.68,51.00,36.83,35.07,64.15,17.20,17.20,71.70,144,5.59,230.00,22.00,220608001,77.80,31.25,73.89,-5,-5,-5,1,1,0,5.98,15.62,18.38,0,0,0,low,92.16,4.83,Yes,0.00
170,12-Aug-2024 10:28 am,77.86,51.00,36.08,34.75,59.95,18.20,18.20,71.70,153,3.30,181.00,18.00,220608001,86.85,39.42,93.21,-5,-5,-5,1,1,0,6.68,19.71,23.19,0,0,5,low,97.92,4.86,No,0.00
170,11-Aug-2024 10:24 am,78.83,51.00,35.05,34.61,55.99,21.30,21.30,71.70,228,5.99,194.00,15.00,220608001,167.86,58.38,138.05,-5,-5,-5,1,1,0,12.91,29.19,34.34,0,0,5,low,145.92,4.89,No,0.00
170,10-Aug-2024 10:24 am,82.46,50.00,35.19,35.67,59.11,25.20,25.20,71.70,284,4.23,193.00,15.00,220608001,226.92,81.34,192.35,-5,-5,-5,1,1,0,17.46,40.67,47.85,0,0,5,low,181.76,4.97,No,0.00
170,09-Aug-2024 09:44 am,82.87,51.00,34.15,34.62,54.58,22.80,22.80,71.70,139,4.74,207.00,16.00,220608001,71.61,30.58,72.30,-5,-5,-5,1,1,0,5.51,15.29,17.99,0,0,5,low,88.96,5.09,No,0.00
170,08-Aug-2024 10:26 am,79.09,55.00,35.16,32.92,56.65,26.00,26.00,71.60,135,5.87,192.00,15.00,220608001,69.19,28.32,66.97,-5,-5,-5,1,1,0,5.32,14.16,16.66,0,0,5,low,86.4,5.08,No,0.00
170,07-Aug-2024 11:07 am,81.06,54.00,35.07,34.42,57.58,26.40,26.40,71.60,135,5.81,205.00,17.00,220608001,69.19,28.32,66.97,-5,-5,-5,1,1,0,5.32,14.16,16.66,0,0,0,low,86.4,5.19,Yes,0.00
170,07-Aug-2024 10:25 am,83.12,62.00,33.93,32.41,53.75,26.50,26.50,71.60,139,6.34,208.00,17.00,220608001,71.61,30.58,72.30,-5,-5,-5,1,1,0,5.51,15.29,17.99,0,0,0,low,88.96,5.21,Yes,0.00
170,02-Aug-2024 12:48 pm,81.87,58.00,36.12,33.65,63.19,11.40,11.40,71.90,72,4.46,75.00,22.00,220608001,156.15,26.44,62.53,-5,-5,-5,1,1,0,12.01,13.22,15.55,0,0,0,low,46.08,8.49,Yes,0.00
170,31-Jul-2024 10:21 am,81.06,44.00,37.70,38.34,70.66,11.30,11.30,72.00,70,6.03,212.00,20.00,220608001,152.83,23.37,55.25,-5,-5,-5,1,1,0,11.76,11.68,13.74,0,0,0,low,44.8,8.49,Yes,0.00
170,30-Jul-2024 10:24 am,82.20,37.00,37.97,39.96,73.19,11.20,11.20,72.00,69,4.08,160.00,22.00,220608001,153.14,29.43,69.58,-5,-5,-5,1,1,0,11.78,14.71,17.31,0,0,0,low,44.16,8.49,Yes,0.00
170,29-Jul-2024 10:33 am,71.73,32.00,42.16,41.16,85.23,11.30,11.30,72.30,69,2.02,194.00,24.00,220608001,153.14,29.43,69.58,-5,-5,-5,1,1,0,11.78,14.71,17.31,0,0,0,low,44.16,8.53,Yes,0.00
170,28-Jul-2024 10:45 am,75.54,35.00,38.53,40.26,69.87,11.20,11.20,72.20,67,4.92,202.00,23.00,220608001,149.86,19.43,45.95,-5,-5,-5,1,1,0,11.53,9.72,11.43,0,0,0,low,42.88,8.52,Yes,0.00
170,27-Jul-2024 10:26 am,74.44,40.00,38.33,38.33,67.87,11.20,11.20,72.30,67,6.67,205.00,23.00,220608001,149.86,19.43,45.95,-5,-5,-5,1,1,0,11.53,9.72,11.43,0,0,0,low,42.88,8.52,Yes,0.00
170,26-Jul-2024 10:24 am,72.62,41.00,39.49,38.35,71.93,11.20,11.20,72.20,65,5.99,215.00,24.00,220608001,77.43,22.79,53.89,-5,-5,-5,1,1,0,5.96,11.39,13.40,0,0,0,low,41.6,8.52,Yes,0.00
170,25-Jul-2024 10:56 am,70.67,43.00,38.94,37.23,67.41,11.20,11.20,72.20,65,4.40,192.00,24.00,220608001,77.43,22.79,53.89,-5,-5,-5,1,1,0,5.96,11.39,13.40,0,0,0,low,41.6,8.52,Yes,0.00
170,24-Jul-2024 10:24 am,70.36,46.00,40.65,36.82,75.53,11.10,11.10,72.20,65,6.36,207.00,25.00,220608001,77.43,22.79,53.89,-5,-5,-5,1,1,0,5.96,11.39,13.40,0,0,0,low,41.6,8.52,Yes,0.00
170,23-Jul-2024 10:28 am,75.92,56.00,38.69,34.13,71.04,11.00,11.00,72.20,65,5.86,215.00,24.00,220608001,77.43,22.79,53.89,-5,-5,-5,1,1,0,5.96,11.39,13.40,0,0,0,low,41.6,8.52,Yes,0.00
170,22-Jul-2024 10:39 am,72.87,32.00,39.84,40.27,73.97,11.00,11.00,72.20,65,6.19,224.00,22.00,220608001,77.43,22.79,53.89,-5,-5,-5,1,1,0,5.96,11.39,13.40,0,0,0,low,41.6,8.52,Yes,0.00
170,21-Jul-2024 10:30 am,75.33,30.00,39.07,41.51,72.44,11.00,11.00,72.20,65,3.26,213.00,24.00,220608001,77.43,22.79,53.89,-5,-5,-5,1,1,0,5.96,11.39,13.40,0,0,0,low,41.6,8.51,Yes,0.00
170,20-Jul-2024 10:21 am,70.40,35.00,42.17,39.81,83.67,11.00,11.00,72.30,65,0.38,178.00,26.00,220608001,77.43,22.79,53.89,-5,-5,-5,1,1,0,5.96,11.39,13.40,0,0,0,low,41.6,8.62,Yes,0.00
170,19-Jul-2024 11:58 am,64.39,32.00,41.31,41.30,72.54,11.00,11.00,72.40,65,1.43,216.00,24.00,220608001,77.43,22.79,53.89,-5,-5,-5,1,1,0,5.96,11.39,13.40,0,0,0,low,41.6,8.61,Yes,0.00
170,18-Jul-2024 10:11 am,71.11,46.00,39.39,36.82,69.98,11.00,11.00,72.40,65,3.70,221.00,24.00,220608001,77.43,22.79,53.89,-5,-5,-5,1,1,0,5.96,11.39,13.40,0,0,0,low,41.6,8.61,Yes,0.00
170,17-Jul-2024 10:20 am,68.95,30.00,42.17,41.81,81.94,11.00,11.00,72.20,65,3.48,118.00,25.00,220608001,77.43,22.79,53.89,-5,-5,-5,1,1,0,5.96,11.39,13.40,0,0,0,low,41.6,8.63,Yes,0.00
170,16-Jul-2024 10:19 am,71.33,25.00,40.55,42.31,76.05,11.00,11.00,72.30,65,3.73,75.00,25.00,220608001,77.43,22.79,53.89,-5,-5,-5,1,1,0,5.96,11.39,13.40,0,0,0,low,41.6,8.62,Yes,0.00
