Date,Cotton Growth Stages and Crop Coefficients (Kc),temperature_2m_max ('C),temperature_2m_min,temperature_2m_mean(X),Normalized _temp_normlization,precipitation_sum,precipitation_normlization,wind_speed_10m_max,wind_speed_normlization,wind_gusts_10m_max,wind_gusts_normlization,shortwave_radiation_sum,shortwave_radiation_normlization,Etc(Threshold) of four Stages= Evat *Kc(As per stages),et0_fao_evapotranspiration,et0_fao_evapotranspiration__normlization,Max NDVI,Min NDVI,EVI,VHI,ClimateIndex,Average_Temperature,GDD,Water_Stress_Index_Normalization,Water_Stress_Index,Rescaled WSI,WSI(normalised with Preci),soil moisture  smc (iot sensor Average) %,soil moisture  smc (iot sensor Average) % NORMALIZED,waterdefcit,Irrigation_Required,Stage,Water requirmnet_Normalized (m3)
05/05/2023,0.4,35.4,22.4,28.7,0.2924528302,0,0,17.7,0.1404056162,33.1,0.6065088757,23,0.8051575931,2.596,6.49,0.5625,0.3347592005,0.03324968632,0.8368980013,0.3015095142,0.415027606,28.9,13.9,0.5628172179,1.050841969,0.7316798198,1.050841969,23.62,0.3665048544,0.1238,0,1,0.6334975525
10/05/2023,0.4,38.9,22.3,30.4,0.4528301887,0,0,15.3,0.1029641186,25.2,0.3727810651,25.04,1,2.972,7.43,0.7352941176,0.3890719385,0.03779506072,0.9726798462,0.3512768778,0.547031077,30.6,15.6,0.7355777991,1.203044041,0.8376550167,1.203044041,24.39,0.4132281553,0.1161,0,1,0.586774136
16/05/2023,0.4,39.8,26.5,32.5,0.6509433962,0,0,24.9,0.2527301092,45,0.9585798817,22.19,0.7277936963,3,7.5,0.7481617647,0.1309001098,0.01899376541,0.3272502744,0.1119063444,0.531724714,33.15,18.15,0.7484429489,1.214378238,0.8455467868,1.214378238,22.1,0.2742718447,0.139,0,1,0.7257307902
21/05/2023,0.4,42.8,28.2,35,0.8867924528,0,0,27.8,0.2979719189,46.4,1,22.68,0.7745940783,3.548,8.87,1,0.2109268823,0.02160101652,0.5273172058,0.1893258658,0.665346633,35.5,20.5,1.000232308,1.436204663,1,1.436204663,21.93,0.2639563107,0.1407,0,1,0.7360463497
27/05/2023,0.4,38.5,28.3,32.9,0.6886792453,0,0,24.3,0.2433697348,41.8,0.8639053254,22.68,0.7745940783,3.216,8.04,0.8474264706,0.3598683226,-0.00125121646,0.8996708065,0.3611195391,0.577674949,33.4,18.4,0.8476883905,1.301813472,0.9064261561,1.301813472,29.29,0.7105582524,0.0671,0,1,0.2894433037
04/06/2023,0.75,36.5,24.7,30.5,0.4622641509,0.1,0.003846153846,20.2,0.1794071763,33.5,0.6183431953,22.76,0.782234957,4.3725,5.83,0.4411764706,0.3370953371,0.02999193371,0.8427383427,0.3071034034,0.422380433,30.6,15.6,0.441517235,0.943976684,0.6572717025,0.9433539259,34.06,1,0.0194,0,2,0.0000008404918417
11/06/2023,0.75,41.2,29.4,35.1,0.8962264151,0,0,19.4,0.1669266771,37.8,0.7455621302,23.08,0.8127984718,6.3375,8.45,0.9227941176,0.3729266236,0.0291753112,0.9323165589,0.3437513124,0.657954751,35.3,20.3,0.9230414098,1.368199482,0.9526493802,1.368199482,29.23,0.7069174757,0.0677,0,2,0.2930840894
18/06/2023,0.75,41.5,29.4,35.1,0.8962264151,0,0,9.3,0.009360374415,20.5,0.2337278107,21.97,0.7067812798,4.47,5.96,0.4650735294,0.3527561209,0.03641901735,0.8818903023,0.3163371036,0.517020306,35.45,20.45,0.4654096561,0.965025907,0.671927847,0.9650259067,24.64,0.4283980583,0.1136,0,2,0.5716041956
26/06/2023,0.75,41.5,31.5,36.2,1,0.2,0.007692307692,24.8,0.2511700468,41.8,0.8639053254,22.08,0.7172874881,6.2625,8.35,0.9044117647,0.3631450959,0.04729266621,0.9078627398,0.3158524297,0.65734789,36.5,21.5,0.9046626243,1.352007772,0.9413754229,1.350762256,21.18,0.2184466019,0.1482,0,2,0.781556171
01/07/2023,0.75,40.4,30.1,34.3,0.820754717,13,0.5,18.6,0.1544461778,38.2,0.7573964497,19.17,0.4393505253,4.62,6.16,0.5018382353,0.3869533479,0.05128205128,0.9673833698,0.3356712967,0.565485869,35.25,20.25,0.5021672259,0.997409326,0.6944757608,0.9164507772,20.66,0.1868932039,0.1534,1,2,0.8131096471
